post_id,text,post_text,shared_text,time,image,video,video_thumbnail,video_id,likes,comments,shares,post_url,link,user_id,is_live,images
10158997236604882,"তুমি আছো জেনে আমি অন্ধকার ভালো ভেবে যে-অতীত আর
যেই শীত ক্লান্তিহীন কাটায়েছিলাম;
তাই শুধু কাটায়েছি।
কাটায়ে জানেছি এই-ই শূন্যে, তবু হৃদয়ের কাছে ছিল অন্য-কোন নাম।","তুমি আছো জেনে আমি অন্ধকার ভালো ভেবে যে-অতীত আর
যেই শীত ক্লান্তিহীন কাটায়েছিলাম;
তাই শুধু কাটায়েছি।
কাটায়ে জানেছি এই-ই শূন্যে, তবু হৃদয়ের কাছে ছিল অন্য-কোন নাম।",,2021-01-28 15:54:38,,,,,884,11,0,https://facebook.com/timirbidary.jibanananda.das/posts/10158997236604882,,15330419881,False,[]
10158996502319882,"কত কি দেখিব নাহি লেখা
তবুও তোমার সাথে অনন্তকালেও আর হবে নাকো’ দেখা।","কত কি দেখিব নাহি লেখা
তবুও তোমার সাথে অনন্তকালেও আর হবে নাকো’ দেখা।",,2021-01-28 10:35:26,,,,,2527,28,0,https://facebook.com/timirbidary.jibanananda.das/posts/10158996502319882,,15330419881,False,[]
10158992534739882,"কড়ির মতন সাদা মুখ তার;
দুইখানা হাত তার হিম;
চোখে তার হিজল কাঠের রক্তিম
চিতা জ্বলে: দক্ষিণ শিয়রে মাথা শঙ্খমালা যেন পুড়ে যায়
সে আগুনে হায়।","কড়ির মতন সাদা মুখ তার;
দুইখানা হাত তার হিম;
চোখে তার হিজল কাঠের রক্তিম
চিতা জ্বলে: দক্ষিণ শিয়রে মাথা শঙ্খমালা যেন পুড়ে যায়
সে আগুনে হায়।",,2021-01-27 18:39:57,,,,,1120,17,0,https://facebook.com/timirbidary.jibanananda.das/posts/10158992534739882,,15330419881,False,[]
10158992123989882,"আবার আকাশে অন্ধকার ঘন হয়ে উঠেছে:
আলোর রহস্যময়ী সহোদরার মতো এই অন্ধকার।","আবার আকাশে অন্ধকার ঘন হয়ে উঠেছে:
আলোর রহস্যময়ী সহোদরার মতো এই অন্ধকার।",,2021-01-27 16:36:27,,,,,2317,8,0,https://facebook.com/timirbidary.jibanananda.das/posts/10158992123989882,,15330419881,False,[]
10158987653494882,"তার মুখ মনে পড়ে এ-রকম স্নিগ্ধ পৃথিবীর
পাতাপতঙ্গের কাছে চলে এসে; চারিদিকে রাত্রি নক্ষত্রের আলোড়ন
এখন দয়ার মতো; তবুও দয়ার মানে মৃত্যুতে স্থির
হয়ে থেকে ভুলে যাওয়া মানুষের সনাতন মন।","তার মুখ মনে পড়ে এ-রকম স্নিগ্ধ পৃথিবীর
পাতাপতঙ্গের কাছে চলে এসে; চারিদিকে রাত্রি নক্ষত্রের আলোড়ন
এখন দয়ার মতো; তবুও দয়ার মানে মৃত্যুতে স্থির
হয়ে থেকে ভুলে যাওয়া মানুষের সনাতন মন।",,2021-01-26 19:35:13,,,,,1091,14,0,https://facebook.com/timirbidary.jibanananda.das/posts/10158987653494882,,15330419881,False,[]
10158986122974882,"এই পৃথিবীতে আমি অবসর নিয়ে শুধু আসিয়াছি — আমি হৃষ্ট কবি
আমি এক; — ধুয়েছি আমার দেহ অন্ধকারে একা একা সমুদ্রের জলে;
ভালোবাসিয়াছি আমি রাঙা রোদ, ক্ষান্ত কার্তিকের মাঠে — ঘাসের আঁচলে
ফড়িঙের মতো আমি বেড়ায়েছি;....''","এই পৃথিবীতে আমি অবসর নিয়ে শুধু আসিয়াছি — আমি হৃষ্ট কবি
আমি এক; — ধুয়েছি আমার দেহ অন্ধকারে একা একা সমুদ্রের জলে;
ভালোবাসিয়াছি আমি রাঙা রোদ, ক্ষান্ত কার্তিকের মাঠে — ঘাসের আঁচলে
ফড়িঙের মতো আমি বেড়ায়েছি;....''",,2021-01-26 09:34:41,,,,,1978,9,0,https://facebook.com/timirbidary.jibanananda.das/posts/10158986122974882,,15330419881,False,[]
10158983365774882,"আমি চলে যাব ব'লে চালতাফুল কি আর ভিজিবে না শিশিরের জলে
নরম গন্ধের ঢেউয়ে? লক্ষ্মীপেঁচা গান গাবে নাকি তার লক্ষ্মীটির তরে?","আমি চলে যাব ব'লে চালতাফুল কি আর ভিজিবে না শিশিরের জলে
নরম গন্ধের ঢেউয়ে? লক্ষ্মীপেঁচা গান গাবে নাকি তার লক্ষ্মীটির তরে?",,2021-01-25 16:51:12,,,,,3566,58,0,https://facebook.com/timirbidary.jibanananda.das/posts/10158983365774882,,15330419881,False,[]
10158979246804882,"নিবন্ত বাতির বুকে চুপে চুপে যেমন আঁধার
চ’লে আসে,- ভালোবেসে – নুয়ে তার চোখের উপর
চুমু খায়,- তারপর তারে কোলে টেনে লয় তার;-
মাথার সকল স্বপ্ন – হৃদয়ের সকল সঞ্চার
একদিন সেই শূন্য সেই শীত নদীর উপরে
ফুরাবে কি?","নিবন্ত বাতির বুকে চুপে চুপে যেমন আঁধার
চ’লে আসে,- ভালোবেসে – নুয়ে তার চোখের উপর
চুমু খায়,- তারপর তারে কোলে টেনে লয় তার;-
মাথার সকল স্বপ্ন – হৃদয়ের সকল সঞ্চার
একদিন সেই শূন্য সেই শীত নদীর উপরে
ফুরাবে কি?",,2021-01-24 18:08:02,,,,,1651,7,0,https://facebook.com/timirbidary.jibanananda.das/posts/10158979246804882,,15330419881,False,[]
10158977945359882,"আমাকে একটি কথা দাও যা আকাশের মতো
সহজ মহৎ বিশাল,
গভীর - সমস্ত ক্লান্ত হতাহত গৃহবলিভুকদের রক্তে
মলিন ইতিহাসের অন্তর ধুয়ে চেনা হাতের মতনঃ
আমি যাকে আবহমান কাল ভালোবেসে এসেছি সেই নারীর।","আমাকে একটি কথা দাও যা আকাশের মতো
সহজ মহৎ বিশাল,
গভীর - সমস্ত ক্লান্ত হতাহত গৃহবলিভুকদের রক্তে
মলিন ইতিহাসের অন্তর ধুয়ে চেনা হাতের মতনঃ
আমি যাকে আবহমান কাল ভালোবেসে এসেছি সেই নারীর।",,2021-01-24 12:25:00,,,,,1771,13,0,https://facebook.com/timirbidary.jibanananda.das/posts/10158977945359882,,15330419881,False,[]
10158974641104882,"অর্থ নয়, র্কীতি নয়, সচ্ছলতা নয়-
আরো এক বিপন্ন বিস্ময়
আমাদের অন্তর্গত রক্তের ভিতরে
খেলা করে
আমাদের ক্লান্ত করে;
ক্লান্ত ক্লান্ত করে:","অর্থ নয়, র্কীতি নয়, সচ্ছলতা নয়-
আরো এক বিপন্ন বিস্ময়
আমাদের অন্তর্গত রক্তের ভিতরে
খেলা করে
আমাদের ক্লান্ত করে;
ক্লান্ত ক্লান্ত করে:",,2021-01-23 17:44:41,,,,,2351,19,0,https://facebook.com/timirbidary.jibanananda.das/posts/10158974641104882,,15330419881,False,[]
10158974187479882,"আমার এমন কাছে — আশ্বিনের এত বড় অকূল আকাশে
আর কাকে পাব এই সহজ গভীর অনায়াসে –’","আমার এমন কাছে — আশ্বিনের এত বড় অকূল আকাশে
আর কাকে পাব এই সহজ গভীর অনায়াসে –’",,2021-01-23 14:43:59,,,,,2149,24,0,https://facebook.com/timirbidary.jibanananda.das/posts/10158974187479882,,15330419881,False,[]
10158973530039882,"এখন অপর আলো পৃথিবীতে জ্বলে;
কী এক অপব্যয়ী অক্লান্ত আগুন!","এখন অপর আলো পৃথিবীতে জ্বলে;
কী এক অপব্যয়ী অক্লান্ত আগুন!",,2021-01-23 09:10:22,,,,,1476,13,0,https://facebook.com/timirbidary.jibanananda.das/posts/10158973530039882,,15330419881,False,[]
10158971723924882,"তোমায় আমি দেখেছিলাম ব’লে
তুমি আমার পদ্মপাতা হলে;
শিশির কণার মতন শূন্যে ঘুরে
শুনেছিলাম পদ্মপত্র আছে অনেক দূরে
খুঁজে খুঁজে পেলাম তাকে শেষে।","তোমায় আমি দেখেছিলাম ব’লে
তুমি আমার পদ্মপাতা হলে;
শিশির কণার মতন শূন্যে ঘুরে
শুনেছিলাম পদ্মপত্র আছে অনেক দূরে
খুঁজে খুঁজে পেলাম তাকে শেষে।",,2021-01-22 18:17:08,,,,,1740,18,0,https://facebook.com/timirbidary.jibanananda.das/posts/10158971723924882,,15330419881,False,[]
10158935379019882,"হায় চিল, সোনালি ডানার চিল, এই ভিজে মেঘের দুপুরে
তুমি আর কেঁদো নাকো উড়ে উড়ে ধানসিড়ি নদীটির পাশে!
তোমার কান্নার সুরে বেতের ফলের মতো তার ম্লান চোখ মনে আসে!
পৃথিবীর রাঙা রাজকন্যাদের মতো সে যে চলে গেছে রূপ নিয়ে দূরে;
আবার তাহারে কেন ডেকে আনো ? কে হায় হৃদয় খুঁড়ে
বেদনা জাগাতে ভালোবাসে!","হায় চিল, সোনালি ডানার চিল, এই ভিজে মেঘের দুপুরে
তুমি আর কেঁদো নাকো উড়ে উড়ে ধানসিড়ি নদীটির পাশে!
তোমার কান্নার সুরে বেতের ফলের মতো তার ম্লান চোখ মনে আসে!
পৃথিবীর রাঙা রাজকন্যাদের মতো সে যে চলে গেছে রূপ নিয়ে দূরে;
আবার তাহারে কেন ডেকে আনো ? কে হায় হৃদয় খুঁড়ে
বেদনা জাগাতে ভালোবাসে!",,2021-01-22 04:00:42,,,,,1384,20,0,https://facebook.com/timirbidary.jibanananda.das/posts/10158935379019882,,15330419881,False,[]
10158969204579882,"সারাটি রাত্রি তারাটির সাথে তারাটিরই কথা হয়,
আমাদের মুখ সারাটি রাত্রি মাটির বুকের’পরে!","সারাটি রাত্রি তারাটির সাথে তারাটিরই কথা হয়,
আমাদের মুখ সারাটি রাত্রি মাটির বুকের’পরে!",,2021-01-21 18:43:25,,,,,3084,31,0,https://facebook.com/timirbidary.jibanananda.das/posts/10158969204579882,,15330419881,False,[]
10158935378304882,"""...কে হায় হৃদয় খুঁড়ে
বেদনা জাগাতে ভালোবাসে!""","""...কে হায় হৃদয় খুঁড়ে
বেদনা জাগাতে ভালোবাসে!""",,2021-01-21 03:50:54,,,,,2286,40,0,https://facebook.com/timirbidary.jibanananda.das/posts/10158935378304882,,15330419881,False,[]
